campaign_cycle_index,batch_index,carton_index,cell_cycle_duration_sim_s,robot_cycle_duration_sim_s,planned_motion_s,q2_q3_max_error_deg,placement_xy_error_m,placement_z_error_m,placement_yaw_error_deg,tracking_error_max_rad,saturation_global_max_contiguous_s,indexer_direct_state_age_wall_s,status,batch_reset_before_cycle
60,5,12,10.263999999999982,10.263999999999982,9.639999999999999,0.5388276601237152,0.0022558197769372377,0.004538095302449863,0.14442262478371407,0.012418130729425991,0.01,,PASS,False
61,6,1,9.908000000000001,9.908000000000001,8.48840413412855,0.8011749706052882,0.0028231694530635692,0.00487567885994411,0.24880681025447576,0.027336388982383886,0.01,,PASS,True
62,6,2,9.811,9.811,8.399893662983931,0.7142428839436263,0.0011062886368365026,0.004116882329673555,0.19060458973791264,0.026226949501397367,0.01,0.00045799999998052954,PASS,False
63,6,3,9.841999999999999,9.841999999999999,8.486988819025033,0.655808622491449,0.006177768918096309,0.004009242743502339,0.45089883704100314,0.017558004641590852,0.01,,PASS,False
64,6,4,10.134,9.740000000000002,8.399097497911857,0.6241699010278694,0.006637861665840747,0.004932084627064626,0.24119920205538675,0.012653541367842358,0.01,0.00047237499984476017,PASS,False
65,6,5,10.852000000000004,10.852000000000004,9.489999999999998,0.5953084385134417,0.013353258264073666,0.004567057215787318,0.19085840147871103,0.01796367651313746,0.01,,PASS,False
66,6,6,10.838999999999999,10.838999999999999,9.489999999999998,0.5784874203940973,0.01393840043288149,0.005034791297823471,0.972636418862545,0.014446272328968002,0.01,0.015623917000084475,PASS,False
67,6,7,10.823999999999998,10.823999999999998,9.489999999999998,0.5586894735457122,0.013358346157109841,0.004357790533717432,0.22115283649912024,0.013788338899010766,0.01,,PASS,False
68,6,8,10.698999999999998,10.561999999999998,9.489999999999998,0.5426309409776309,0.012889752898180831,0.004045361770524503,0.464351096312245,0.014929513306509046,0.01,0.0011727500000233704,PASS,False
69,6,9,11.408000000000001,11.408000000000001,10.21,0.5363888375341048,0.003522636683333852,0.004469474461715306,0.31705994922009906,0.01678659634231039,0.01,,PASS,False
70,6,10,11.156000000000006,11.156000000000006,10.21,0.5392558778868164,0.002750605291296217,0.0036327695896005707,0.1469516756300811,0.011208956239820544,0.01,0.0005114589998811425,PASS,False
71,6,11,11.031999999999996,11.031999999999996,10.21,0.5410298692152651,0.0039160434894429065,0.003419265082735601,0.07876635735827225,0.01016027411003928,0.01,,PASS,False
72,6,12,10.240000000000009,10.240000000000009,9.64,0.5376004768218507,0.002187987083966416,0.0037112736855053896,0.12199238692659163,0.010463970232061026,0.01,,PASS,False
73,7,1,9.981000000000002,9.981000000000002,8.488445210429678,0.8041790380865876,0.0028519935860048095,0.004247587117618301,0.2389755471815886,0.025343634771404777,0.0,,PASS,True
74,7,2,9.818000000000001,9.818000000000001,8.400420930326842,0.7198635210148865,0.0017072645767656231,0.005058077169211583,0.21134128387360318,0.020277897225391306,0.01,0.000443249999989348,PASS,False
75,7,3,9.850999999999999,9.850999999999999,8.487348150683243,0.6563106696043093,0.005175490578329502,0.005032315873220283,0.4746878011620902,0.02509713688439108,0.01,,PASS,False
76,7,4,10.038000000000004,9.635000000000005,8.399119331374276,0.6192674428649951,0.006614963770310466,0.0050454393058527724,0.2446286120455522,0.015992530777757752,0.01,0.0004262080001353752,PASS,False
